name,slug,%,date_of_information,ranking,region
"Central African Republic","central-african-republic","5.9","2024",111,"Africa"
"Luxembourg","luxembourg","6","2024",112,"Europe"
"Zambia","zambia","6","2024",113,"Africa"
"Paraguay","paraguay","6.1","2024",114,"South America"
"Honduras","honduras","6.1","2024",115,"Central America and the Caribbean"
"Jersey","jersey","6.3","2024",116,"Europe"
"Guernsey","guernsey","6.3","2024",117,"Europe"
"Portugal","portugal","6.4","2024",118,"Europe"
"Gambia, The","gambia-the","6.5","2024",119,"Africa"
"Canada","canada","6.5","2024",120,"North America"
"Panama","panama","6.6","2024",121,"Central America and the Caribbean"
"Latvia","latvia","6.8","2024",122,"Europe"
"Italy","italy","6.8","2024",123,"Europe"
"Belize","belize","7","2024",124,"Central America and the Caribbean"
"Egypt","egypt","7.2","2024",125,"Africa"
"Suriname","suriname","7.4","2024",126,"South America"
"France","france","7.4","2024",127,"Europe"
"Serbia","serbia","7.4","2024",128,"Europe"
"Lithuania","lithuania","7.6","2024",129,"Europe"
"Barbados","barbados","7.6","2024",130,"Central America and the Caribbean"
"Brazil","brazil","7.7","2024",131,"South America"
"Argentina","argentina","7.9","2024",132,"South America"
"Costa Rica","costa-rica","7.9","2024",133,"Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","7.9","2024",134,"Africa"
"Estonia","estonia","7.9","2024",135,"Europe"
"Finland","finland","8.3","2024",136,"Europe"
"Uruguay","uruguay","8.5","2024",137,"South America"
"Turkey (Turkiye)","turkey-turkiye","8.5","2024",138,"Middle East"
"Bahamas, The","bahamas-the","8.5","2024",139,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","8.6","2024",140,"Africa"
"Sweden","sweden","8.6","2024",141,"Europe"
"Morocco","morocco","9","2024",142,"Africa"
"Chile","chile","9.1","2024",143,"South America"
"Iran","iran","9.2","2024",144,"Middle East"
"Sao Tome and Principe","sao-tome-and-principe","9.2","2024",145,"Africa"
"Colombia","colombia","9.7","2024",146,"South America"
"Ukraine","ukraine","9.9","2021",147,"Europe"
"Guyana","guyana","10.2","2024",148,"South America"
"Greece","greece","10.2","2024",149,"Europe"
"Albania","albania","10.3","2024",150,"Europe"
"Mauritania","mauritania","10.4","2024",151,"Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","10.8","2024",152,"Europe"
"Nepal","nepal","10.8","2024",153,"South Asia"
"Saint Lucia","saint-lucia","11","2024",154,"Central America and the Caribbean"
"New Caledonia","new-caledonia","11.2","2024",155,"Australia and Oceania"
"Spain","spain","11.4","2024",156,"Europe"
"Sudan","sudan","11.45","2023",157,"Africa"
"Georgia","georgia","11.5","2024",158,"Central Asia"
"Algeria","algeria","11.5","2024",159,"Africa"
"Lebanon","lebanon","11.6","2023",160,"Middle East"
"Tajikistan","tajikistan","11.7","2024",161,"Central Asia"
"French Polynesia","french-polynesia","11.8","2024",162,"Australia and Oceania"
"Cabo Verde","cabo-verde","11.9","2024",163,"Africa"
"Rwanda","rwanda","12","2024",164,"Africa"
"Virgin Islands","virgin-islands","12.1","2024",165,"Central America and the Caribbean"
"South Sudan","south-sudan","12.5","2023",166,"Africa"
"Syria","syria","13","2024",167,"Middle East"
"Afghanistan","afghanistan","13.3","2024",168,"South Asia"
"Armenia","armenia","13.4","2024",169,"Central Asia"
"North Macedonia","north-macedonia","13.5","2024",170,"Europe"
"Montenegro","montenegro","14.1","2024",171,"Europe"
"Angola","angola","14.5","2024",172,"Africa"
